54.994355	 -7.317919		286.55	SiegeMuseum, AppenticeBoysMemorial, Bogside,FreeDerryCorner
54.994355	 -7.317919		209.01	HandsAcrossTheDivide
54.994355	 -7.317919		18.35	PeaceBridge, RiverFoyle, Derry
52.764255	 -7.687157		146.25	Waterford
52.764255	 -7.687157		209.43	Cork,	SouthAmerica
52.764255	 -7.687157		260.64	Limerick
0.000000	180.000000		45.80	Hawaii
0.000000	180.000000		317.88	Tokyo
0.000000	180.000000		185.89	NewZealand,	Wellington
0.000000	180.000000		120.96	SouthAmerica,SaoPaolo
35.00000	90.0000000		74.11	Tokyo
35.00000	90.0000000		232.67	Johannesburg
35.00000	90.0000000		312.45	Europe, Paris
35.00000	90.0000000		127.25	Wellington, NewZealand
35.00000	90.0000000		0.000	Nowhere
35.00000	90.0000000		180.00	Nowhere
35.00000	90.0000000		45.544	Nowhere
0.000000	0.00000000		170.00	Nowhere
0.000000	0.00000000		330.00	Nowhere
0.000000	0.00000000		100.00	Nowhere
0.000000	0.00000000		170.00	Nowhere
-22.9164	-180.00000		270.00	Nowhere
-22.9164	-180.00000		170.00	Nowhere
-22.9164	-180.00000		350.00	Nowhere
-22.9164	-180.00000		35.000	Nowhere
