54.994355,-7.317919,286.55,1	seigemuseum.kml,AppenticeBoysMemorialHall.kml,Bogside.kml,FreeDerryCorner.kml
54.994355,-7.317919,209.01,1	HandsAcrossDivde.kml
54.994355,-7.317919,18.35,100	PeaceBridge.kml,RiverFoyle.kml,Derry.kml
52.764255,-7.687157,146.25,100	Waterford.kml
52.764255,-7.687157,209.43,10000	Cork.kml,SouthAmerica.kml
52.764255,-7.687157,260.64,100	Limerick.kml,Ireland.kml
0.000000,180.000000,45.80,5000	Hawaii.kml,Centre180,PacificOcean.kml
0.000000,180.000000,317.88,10000	Tokyo.kml,Centre180
0.000000,180.000000,185.89,10000	NewZealand.kml,Wellington.kml
0.000000,180.000000,120.96,15000	SouthAmerica.kml,SaoPaulo.kml,PacificOcean.kml
35.00000,90.0000000,74.11,10000	Tokyo.kml
35.00000,90.0000000,232.67,10000	Johannesburg.kml
35.00000,90.0000000,312.45,10000	Europe.kml,Paris.kml,Eurasia.kml
35.00000,90.0000000,127.77,0	Wellington.kml,NewZealand.kml,PacificOcean.kml
35.00000,90.0000000,0.000,2000	Nowhere
35.00000,90.0000000,180.00,10000	Nowhere
35.00000,90.0000000,45.544,2000	Nowhere
0.000000,0.00000000,170.00,5000	Nowhere
0.000000,0.00000000,330.00,500	Centre
0.000000,0.00000000,100.00,5000	Nowhere
0.000000,0.00000000,170.00,5000	Nowhere
-22.9164,-180.00000,270.00,5000	Nowhere
-22.9164,-180.00000,170.00,5000	Nowhere
-22.9164,-180.00000,350.00,2000	Nowhere
-22.9164,-180.00000,35.000,3000	Nowhere
