30,90,30	True
30,90,90	True
30,90,-270	True
30,90,-330	True
30,90,30.001	True
30,90,440.10	True
30,90,29.999	False
30,90,90.001	False
30,90,0	False
30,90,-269.99	False
30,90,-330.01	False
30,90,NaN	False
359,1,359	True
359,1,0	True
359,1,1	True
359,1,-0.999	True
359,1,0.9999	True
359,1,360.5	True
359,1,1.0001	False
359,1,-1.001	False
359,1,389.99	False
359,1,-389.99	False
359,1,540	False
359,1,NaN	False
-350,-10,10	True
-350,-10,-10	True
-350,-10,-350	True
-350,-10,350	True
-350,-10,-900	True
-350,-10,0	False
-350,-10,350.6	False
-350,-10,369.8	False
-350,-10,9.9999	False
-350,-10,-9.999	False
-350,-10,NaN	False
-10,-90,350	True
-10,-90,270	True
-10,-90,-99.999	True
-10,-90,-9.9999	True
-10,-90,1080	True
-10,-90,349.999	False
-10,-90,-10.001	False
-10,-90,270.001	False
-10,-90,-89.999	False
-10,-90,NaN	False
-0.5,0.5,359.5	True
-0.5,0.5,-359.5	True
-0.5,0.5,0	True
-0.5,0.5,360	True
-0.5,0.5,360.501	False
-0.5,0.5,719.499	False
-0.5,0.5,-0.5001	False
-0.5,0.5,0.50001	False
-0.5,0.5,NaN	False
